Label,Date,Value
Total capital,2014-03-31,164499000000.0
Total capital,2014-06-30,168312000000.0
Total capital,2020-09-30,242927000000.0
Total capital,2020-12-31,252045000000.0
Total capital,2021-03-31,260288000000.0
Total capital,2021-06-30,269803000000.0
Total capital,2022-12-31,288433000000.0
Total capital,2023-03-31,292244000000.0
Allowance for loan and lease losses includable in tier 2 capital,2014-03-31,13456000000.0
Allowance for loan and lease losses includable in tier 2 capital,2014-06-30,13028000000.0
Allowance for loan and lease losses includable in tier 2 capital,2018-09-30,10727000000.0
Allowance for loan and lease losses includable in tier 2 capital,2021-09-30,16285000000.0
Allowance for loan and lease losses includable in tier 2 capital,2021-12-31,14959000000.0
Allowance for loan and lease losses includable in tier 2 capital,2022-03-31,16636000000.0
Allowance for loan and lease losses includable in tier 2 capital,2022-12-31,18962000000.0
Allowance for loan and lease losses includable in tier 2 capital,2023-03-31,18949000000.0
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2014-03-31,19784000000.0
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2015-06-30,15283000000.0
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2015-12-31,14040000000.0
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2016-12-31,12321000000.0
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2017-03-31,11896000000.0
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2017-06-30,11710000000.0
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2018-09-30,11026000000.0
"Tier 2 capital (greater of item 44.a minus item 45, or zero)",2022-12-31,18761000000.0
Leverage ratio,2014-03-31,0.0766
Total capital ratio,2014-12-31,0.1409
Total capital ratio,2014-06-30,0.1189
Tier 1 capital ratio,2014-12-31,0.1275
Tier 1 capital ratio,2014-06-30,0.1109
Tier 1 capital,2014-03-31,144715000000.0
Tier 1 capital,2014-06-30,149637000000.0
Tier 1 capital,2020-09-30,225549000000.0
Tier 1 capital,2020-12-31,234237000000.0
Tier 1 capital,2021-03-31,242466000000.0
Tier 1 capital,2021-06-30,251951000000.0
Tier 1 capital,2022-12-31,269672000000.0
Tier 1 capital,2023-03-31,273554000000.0
Total risk-weighted assets,2014-03-31,1237847900000.0
Total risk-weighted assets,2014-06-30,1241564800000.0
Total risk-weighted assets,2014-09-30,1239245600000.0
Total risk-weighted assets,2014-12-31,1230358100000.0
Total risk-weighted assets,2018-03-31,1382770270000.0
Total risk-weighted assets,2021-09-30,1562369680000.0
Total risk-weighted assets,2022-03-31,1660497765000.0
Total risk-weighted assets,2022-06-30,1631554690000.0
Total risk-weighted assets,2022-09-30,1614627530000.0
Total risk-weighted assets,2018-03-31,1382770270000.0
Total risk-weighted assets,2021-09-30,1562369680000.0
Total risk-weighted assets,2022-03-31,1660497765000.0
Total risk-weighted assets,2022-06-30,1631554690000.0
Total risk-weighted assets,2022-09-30,1614627530000.0
Total assets for the leverage ratio,2014-03-31,1889491000000.0
Total assets for the leverage ratio,2020-03-31,2439720000000.0
Total assets for the leverage ratio,2020-06-30,2757510000000.0
Total assets for the leverage ratio,2020-09-30,2852307000000.0
Total assets for the leverage ratio,2020-12-31,2970285000000.0
Total assets for the leverage ratio,2021-03-31,3120770000000.0
Total assets for the leverage ratio,2022-03-31,3395148000000.0
Total assets for the leverage ratio,2022-06-30,3402079000000.0
Accumulated other comprehensive income (AOCI),2020-03-31,6147000000.0
Accumulated other comprehensive income (AOCI),2020-09-30,8890000000.0
Accumulated other comprehensive income (AOCI),2020-12-31,8418000000.0
Accumulated other comprehensive income (AOCI),2022-03-31,-9901000000.0
Accumulated other comprehensive income (AOCI),2022-06-30,-15721000000.0
Accumulated other comprehensive income (AOCI),2022-09-30,-21010000000.0
Accumulated other comprehensive income (AOCI),2022-12-31,-17964000000.0
Accumulated other comprehensive income (AOCI),2023-03-31,-14748000000.0
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2020-06-30,-10609000000.0
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2021-06-30,317000000.0
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2021-12-31,1421000000.0
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2022-03-31,4520000000.0
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2022-06-30,10326000000.0
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2022-09-30,9727000000.0
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2022-12-31,11739000000.0
LESS: Other deductions from (additions to) assets for leverage ratio purposes,2023-03-31,8147000000.0
Total leverage exposure,2016-09-30,2713376960000.0
Total leverage exposure,2020-03-31,3118192000000.0
Total leverage exposure,2020-06-30,3418625000000.0
Total leverage exposure,2020-09-30,3544506000000.0
Total leverage exposure,2020-12-31,3688797000000.0
Total leverage exposure,2022-03-31,4125933000000.0
Retained earnings,2020-12-31,150130000000.0
Retained earnings,2021-03-31,159933000000.0
Retained earnings,2021-06-30,168646000000.0
Retained earnings,2021-09-30,177554000000.0
Retained earnings,2021-12-31,185334000000.0
Retained earnings,2022-06-30,194902000000.0
Retained earnings,2022-09-30,200210000000.0
Retained earnings,2022-12-31,203448000000.0
Retained earnings,2023-03-31,204884000000.0
Retained earnings,2001-03-31,9446000000.0
Retained earnings,2001-06-30,9985000000.0
Retained earnings,2001-09-30,10641000000.0
Retained earnings,2021-03-31,155381000000.0
Retained earnings,2021-06-30,164781000000.0
Retained earnings,2021-09-30,174198000000.0
Retained earnings,2021-12-31,182421000000.0
Retained earnings,2022-03-31,188805000000.0
Retained earnings,2022-06-30,192717000000.0
Retained earnings,2022-09-30,198025000000.0
Retained earnings,2022-12-31,201263000000.0
Retained earnings,2023-03-31,203428000000.0
Average total consolidated assets,2019-03-31,2244038000000.0
Average total consolidated assets,2020-03-31,2471436000000.0
Average total consolidated assets,2020-06-30,2785962000000.0
Average total consolidated assets,2022-06-30,3452839000000.0
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2014-03-31,92553000000.0
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2015-06-30,92591000000.0
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2015-09-30,94547000000.0
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2017-12-31,96068000000.0
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2018-09-30,100933000000.0
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2019-06-30,125820000000.0
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2019-09-30,112320000000.0
"Common stock plus related surplus, net of treasury stock and unearned employee stock ownership plan (ESOP) shares",2020-06-30,117325000000.0
Common equity tier 1 capital ratio,2014-12-31,0.1273
Common equity tier 1 capital ratio,2014-06-30,0.1109
Common equity tier 1 minority interest includable in common equity tier 1 capital,2014-06-30,2000000.0
Common equity tier 1 capital before adjustments and deductions,2014-03-31,170757000000.0
Common equity tier 1 capital before adjustments and deductions,2014-06-30,175870000000.0
Common equity tier 1 capital before adjustments and deductions,2020-09-30,267609000000.0
Common equity tier 1 capital before adjustments and deductions,2020-12-31,275824000000.0
Common equity tier 1 capital before adjustments and deductions,2021-03-31,281921000000.0
Common equity tier 1 capital before adjustments and deductions,2021-06-30,291995000000.0
Common equity tier 1 capital before adjustments and deductions,2022-03-31,301338000000.0
Common equity tier 1 capital before adjustments and deductions,2023-03-31,310457000000.0
LESS: Goodwill net of associated deferred tax liabilities (DTLs),2015-09-30,25483000000.0
LESS: Goodwill net of associated deferred tax liabilities (DTLs),2017-12-31,26185000000.0
LESS: Goodwill net of associated deferred tax liabilities (DTLs),2019-06-30,38278000000.0
LESS: Goodwill net of associated deferred tax liabilities (DTLs),2022-03-31,39783000000.0
LESS: Goodwill net of associated deferred tax liabilities (DTLs),2022-06-30,39862000000.0
LESS: Goodwill net of associated deferred tax liabilities (DTLs),2022-09-30,40028000000.0
LESS: Goodwill net of associated deferred tax liabilities (DTLs),2022-12-31,40838000000.0
LESS: Goodwill net of associated deferred tax liabilities (DTLs),2023-03-31,40891000000.0
"LESS: Intangible assets (other than goodwill and mortgage servicing assets (MSAs)), net of associated DTLs",2014-06-30,67000000.0
"LESS: Intangible assets (other than goodwill and mortgage servicing assets (MSAs)), net of associated DTLs",2014-09-30,60000000.0
"LESS: Intangible assets (other than goodwill and mortgage servicing assets (MSAs)), net of associated DTLs",2014-12-31,55000000.0
"LESS: Intangible assets (other than goodwill and mortgage servicing assets (MSAs)), net of associated DTLs",2018-03-31,150000000.0
"LESS: Intangible assets (other than goodwill and mortgage servicing assets (MSAs)), net of associated DTLs",2019-09-30,189000000.0
"LESS: Intangible assets (other than goodwill and mortgage servicing assets (MSAs)), net of associated DTLs",2019-12-31,175000000.0
"LESS: Intangible assets (other than goodwill and mortgage servicing assets (MSAs)), net of associated DTLs",2020-03-31,160000000.0
"LESS: Intangible assets (other than goodwill and mortgage servicing assets (MSAs)), net of associated DTLs",2020-06-30,146000000.0
"LESS: Deferred tax assets (DTAs) that arise from net operating loss and tax credit carryforwards, net of any related valuation allowances and net of DTLs",2014-12-31,2000000.0
"LESS: Deferred tax assets (DTAs) that arise from net operating loss and tax credit carryforwards, net of any related valuation allowances and net of DTLs",2017-06-30,16000000.0
"LESS: Deferred tax assets (DTAs) that arise from net operating loss and tax credit carryforwards, net of any related valuation allowances and net of DTLs",2017-09-30,8000000.0
"LESS: Deferred tax assets (DTAs) that arise from net operating loss and tax credit carryforwards, net of any related valuation allowances and net of DTLs",2017-12-31,17000000.0
"LESS: Deferred tax assets (DTAs) that arise from net operating loss and tax credit carryforwards, net of any related valuation allowances and net of DTLs",2018-06-30,18000000.0
"LESS: Deferred tax assets (DTAs) that arise from net operating loss and tax credit carryforwards, net of any related valuation allowances and net of DTLs",2018-12-31,49000000.0
"LESS: Deferred tax assets (DTAs) that arise from net operating loss and tax credit carryforwards, net of any related valuation allowances and net of DTLs",2019-09-30,58000000.0
"LESS: Deferred tax assets (DTAs) that arise from net operating loss and tax credit carryforwards, net of any related valuation allowances and net of DTLs",2022-03-31,52000000.0
"LESS: Accumulated net gain (loss) on cash flow hedges included in AOCI, net of applicable income taxes, that relate to the hedging of items that are not recognized at fair value on the balance sheet (if a gain, report as a positive value; if a loss, report as a negative value) (To be completed only by institutions that entered ""0"" for No in item 3.a)",2020-06-30,2762000000.0
"LESS: Accumulated net gain (loss) on cash flow hedges included in AOCI, net of applicable income taxes, that relate to the hedging of items that are not recognized at fair value on the balance sheet (if a gain, report as a positive value; if a loss, report as a negative value) (To be completed only by institutions that entered ""0"" for No in item 3.a)",2020-12-31,2385000000.0
"LESS: Accumulated net gain (loss) on cash flow hedges included in AOCI, net of applicable income taxes, that relate to the hedging of items that are not recognized at fair value on the balance sheet (if a gain, report as a positive value; if a loss, report as a negative value) (To be completed only by institutions that entered ""0"" for No in item 3.a)",2021-06-30,727000000.0
"LESS: Accumulated net gain (loss) on cash flow hedges included in AOCI, net of applicable income taxes, that relate to the hedging of items that are not recognized at fair value on the balance sheet (if a gain, report as a positive value; if a loss, report as a negative value) (To be completed only by institutions that entered ""0"" for No in item 3.a)",2022-03-31,-3086000000.0
"LESS: Accumulated net gain (loss) on cash flow hedges included in AOCI, net of applicable income taxes, that relate to the hedging of items that are not recognized at fair value on the balance sheet (if a gain, report as a positive value; if a loss, report as a negative value) (To be completed only by institutions that entered ""0"" for No in item 3.a)",2022-06-30,-4434000000.0
"LESS: Accumulated net gain (loss) on cash flow hedges included in AOCI, net of applicable income taxes, that relate to the hedging of items that are not recognized at fair value on the balance sheet (if a gain, report as a positive value; if a loss, report as a negative value) (To be completed only by institutions that entered ""0"" for No in item 3.a)",2022-09-30,-6132000000.0
"LESS: Accumulated net gain (loss) on cash flow hedges included in AOCI, net of applicable income taxes, that relate to the hedging of items that are not recognized at fair value on the balance sheet (if a gain, report as a positive value; if a loss, report as a negative value) (To be completed only by institutions that entered ""0"" for No in item 3.a)",2022-12-31,-5657000000.0
"LESS: Accumulated net gain (loss) on cash flow hedges included in AOCI, net of applicable income taxes, that relate to the hedging of items that are not recognized at fair value on the balance sheet (if a gain, report as a positive value; if a loss, report as a negative value) (To be completed only by institutions that entered ""0"" for No in item 3.a)",2023-03-31,-4859000000.0
LESS: All other deductions from (additions to) common equity tier 1 capital before threshold-based deductions,2015-03-31,93000000.0
LESS: All other deductions from (additions to) common equity tier 1 capital before threshold-based deductions,2016-12-31,0.0
LESS: All other deductions from (additions to) common equity tier 1 capital before threshold-based deductions,2017-03-31,0.0
LESS: All other deductions from (additions to) common equity tier 1 capital before threshold-based deductions,2017-06-30,12000000.0
LESS: All other deductions from (additions to) common equity tier 1 capital before threshold-based deductions,2017-12-31,167000000.0
LESS: All other deductions from (additions to) common equity tier 1 capital before threshold-based deductions,2021-09-30,531000000.0
LESS: All other deductions from (additions to) common equity tier 1 capital before threshold-based deductions,2022-03-31,484000000.0
LESS: All other deductions from (additions to) common equity tier 1 capital before threshold-based deductions,2022-12-31,541000000.0
Subtotal,2014-03-31,144703000000.0
Subtotal,2014-06-30,149695000000.0
Subtotal,2014-09-30,153061000000.0
Subtotal,2020-12-31,234235000000.0
Subtotal,2021-03-31,242464000000.0
Subtotal,2021-06-30,251948000000.0
Subtotal,2022-12-31,269668000000.0
Subtotal,2023-03-31,273551000000.0
LESS: Deductions applied to common equity tier 1 capital due to insufficient amounts of additional tier 1 capital and tier 2 capital to cover deductions,2014-09-30,226000000.0
LESS: Deductions applied to common equity tier 1 capital due to insufficient amounts of additional tier 1 capital and tier 2 capital to cover deductions,2017-03-31,128000000.0
LESS: Deductions applied to common equity tier 1 capital due to insufficient amounts of additional tier 1 capital and tier 2 capital to cover deductions,2017-06-30,259000000.0
LESS: Deductions applied to common equity tier 1 capital due to insufficient amounts of additional tier 1 capital and tier 2 capital to cover deductions,2017-09-30,194000000.0
LESS: Deductions applied to common equity tier 1 capital due to insufficient amounts of additional tier 1 capital and tier 2 capital to cover deductions,2017-12-31,319000000.0
LESS: Deductions applied to common equity tier 1 capital due to insufficient amounts of additional tier 1 capital and tier 2 capital to cover deductions,2018-03-31,74000000.0
LESS: Deductions applied to common equity tier 1 capital due to insufficient amounts of additional tier 1 capital and tier 2 capital to cover deductions,2018-12-31,85000000.0
LESS: Deductions applied to common equity tier 1 capital due to insufficient amounts of additional tier 1 capital and tier 2 capital to cover deductions,2019-06-30,27000000.0
Total adjustments and deductions for common equity tier 1 capital,2014-09-30,226000000.0
Total adjustments and deductions for common equity tier 1 capital,2017-03-31,128000000.0
Total adjustments and deductions for common equity tier 1 capital,2017-06-30,259000000.0
Total adjustments and deductions for common equity tier 1 capital,2017-09-30,194000000.0
Total adjustments and deductions for common equity tier 1 capital,2017-12-31,319000000.0
Total adjustments and deductions for common equity tier 1 capital,2018-03-31,74000000.0
Total adjustments and deductions for common equity tier 1 capital,2018-12-31,85000000.0
Total adjustments and deductions for common equity tier 1 capital,2019-06-30,27000000.0
Common equity tier 1 capital,2014-03-31,144703000000.0
Common equity tier 1 capital,2014-06-30,149637000000.0
Common equity tier 1 capital,2020-09-30,225547000000.0
Common equity tier 1 capital,2020-12-31,234235000000.0
Common equity tier 1 capital,2021-03-31,242464000000.0
Common equity tier 1 capital,2021-06-30,251948000000.0
Common equity tier 1 capital,2022-12-31,269668000000.0
Common equity tier 1 capital,2023-03-31,273551000000.0
Non-qualifying capital instruments subject to phase out from additional tier 1 capital,2015-03-31,150000000.0
Non-qualifying capital instruments subject to phase out from additional tier 1 capital,2015-06-30,150000000.0
Non-qualifying capital instruments subject to phase out from additional tier 1 capital,2015-09-30,420000000.0
Non-qualifying capital instruments subject to phase out from additional tier 1 capital,2015-12-31,420000000.0
Non-qualifying capital instruments subject to phase out from additional tier 1 capital,2016-03-31,360000000.0
Non-qualifying capital instruments subject to phase out from additional tier 1 capital,2016-06-30,360000000.0
Non-qualifying capital instruments subject to phase out from additional tier 1 capital,2016-09-30,360000000.0
Tier 1 minority interest not included in common equity tier 1 capital,2014-12-31,355000000.0
Tier 1 minority interest not included in common equity tier 1 capital,2015-03-31,228000000.0
Tier 1 minority interest not included in common equity tier 1 capital,2015-06-30,222000000.0
Tier 1 minority interest not included in common equity tier 1 capital,2015-09-30,210000000.0
Tier 1 minority interest not included in common equity tier 1 capital,2015-12-31,206000000.0
Tier 1 minority interest not included in common equity tier 1 capital,2017-03-31,150000000.0
Tier 1 minority interest not included in common equity tier 1 capital,2017-06-30,43000000.0
Tier 1 minority interest not included in common equity tier 1 capital,2017-12-31,46000000.0
Additional tier 1 capital before deductions,2014-12-31,655000000.0
Additional tier 1 capital before deductions,2015-03-31,378000000.0
Additional tier 1 capital before deductions,2015-09-30,630000000.0
Additional tier 1 capital before deductions,2015-12-31,626000000.0
Additional tier 1 capital before deductions,2016-03-31,536000000.0
Additional tier 1 capital before deductions,2016-09-30,538000000.0
Additional tier 1 capital before deductions,2016-12-31,179000000.0
Additional tier 1 capital before deductions,2017-03-31,150000000.0
LESS: Additional tier 1 capital deductions,2014-06-30,392000000.0
LESS: Additional tier 1 capital deductions,2014-09-30,560000000.0
LESS: Additional tier 1 capital deductions,2015-06-30,220000000.0
LESS: Additional tier 1 capital deductions,2016-12-31,157000000.0
LESS: Additional tier 1 capital deductions,2018-03-31,94000000.0
LESS: Additional tier 1 capital deductions,2019-06-30,35000000.0
LESS: Additional tier 1 capital deductions,2019-09-30,8000000.0
LESS: Additional tier 1 capital deductions,2019-12-31,7000000.0
"Additional tier 1 capital (greater of item 23 minus item 24, or zero)",2014-12-31,324000000.0
"Additional tier 1 capital (greater of item 23 minus item 24, or zero)",2015-03-31,74000000.0
"Additional tier 1 capital (greater of item 23 minus item 24, or zero)",2015-06-30,152000000.0
"Additional tier 1 capital (greater of item 23 minus item 24, or zero)",2015-09-30,264000000.0
"Additional tier 1 capital (greater of item 23 minus item 24, or zero)",2015-12-31,365000000.0
"Additional tier 1 capital (greater of item 23 minus item 24, or zero)",2016-03-31,244000000.0
"Additional tier 1 capital (greater of item 23 minus item 24, or zero)",2016-09-30,292000000.0
"Additional tier 1 capital (greater of item 23 minus item 24, or zero)",2016-12-31,22000000.0
Tier 2 capital instruments plus related surplus,2014-03-31,6035000000.0
Tier 2 capital instruments plus related surplus,2014-06-30,5343000000.0
Tier 2 capital instruments plus related surplus,2014-09-30,4893000000.0
Tier 2 capital instruments plus related surplus,2014-12-31,4160000000.0
Tier 2 capital instruments plus related surplus,2015-03-31,3933000000.0
Tier 2 capital instruments plus related surplus,2015-09-30,2868000000.0
Tier 2 capital instruments plus related surplus,2016-09-30,2267000000.0
Tier 2 capital instruments plus related surplus,2016-12-31,522000000.0
Non-qualifying capital instruments subject to phase-out from tier 2 capital,2014-03-31,300000000.0
Non-qualifying capital instruments subject to phase-out from tier 2 capital,2014-06-30,300000000.0
Non-qualifying capital instruments subject to phase-out from tier 2 capital,2014-09-30,300000000.0
Non-qualifying capital instruments subject to phase-out from tier 2 capital,2014-12-31,300000000.0
Non-qualifying capital instruments subject to phase-out from tier 2 capital,2015-03-31,450000000.0
Non-qualifying capital instruments subject to phase-out from tier 2 capital,2015-06-30,450000000.0
Non-qualifying capital instruments subject to phase-out from tier 2 capital,2015-09-30,180000000.0
Total capital minority interest that is not included in tier 1 capital,2014-03-31,0.0
Total capital minority interest that is not included in tier 1 capital,2018-03-31,6000000.0
Total capital minority interest that is not included in tier 1 capital,2020-12-31,0.0
Tier 2 capital before deductions,2014-03-31,19794000000.0
Tier 2 capital before deductions,2014-06-30,18676000000.0
Tier 2 capital before deductions,2015-12-31,14040000000.0
Tier 2 capital before deductions,2016-12-31,12321000000.0
Tier 2 capital before deductions,2017-03-31,11896000000.0
Tier 2 capital before deductions,2018-09-30,11026000000.0
Tier 2 capital before deductions,2022-12-31,19015000000.0
Tier 2 capital before deductions,2023-03-31,19002000000.0
LESS: Tier 2 capital deductions,2014-03-31,10000000.0
LESS: Tier 2 capital deductions,2021-03-31,72000000.0
LESS: Tier 2 capital deductions,2021-06-30,143000000.0
LESS: Tier 2 capital deductions,2022-03-31,244000000.0
LESS: Tier 2 capital deductions,2022-06-30,354000000.0
LESS: Tier 2 capital deductions,2022-09-30,330000000.0
LESS: Tier 2 capital deductions,2022-12-31,254000000.0
LESS: Tier 2 capital deductions,2023-03-31,312000000.0
LESS: Deductions from common equity tier 1 capital and additional tier 1 capital,2016-12-31,25457000000.0
LESS: Deductions from common equity tier 1 capital and additional tier 1 capital,2017-12-31,26848000000.0
LESS: Deductions from common equity tier 1 capital and additional tier 1 capital,2019-06-30,38678000000.0
LESS: Deductions from common equity tier 1 capital and additional tier 1 capital,2021-09-30,39374000000.0
LESS: Deductions from common equity tier 1 capital and additional tier 1 capital,2022-03-31,40417000000.0
LESS: Deductions from common equity tier 1 capital and additional tier 1 capital,2022-09-30,40583000000.0
LESS: Deductions from common equity tier 1 capital and additional tier 1 capital,2022-12-31,41483000000.0
LESS: Deductions from common equity tier 1 capital and additional tier 1 capital,2023-03-31,41438000000.0
"LESS: Unrealized net gain (loss) related to changes in the fair value of liabilities that are due to changes in own credit risk (if a gain, report as a positive value; if a loss, report as a negative value)",2018-12-31,526000000.0
"LESS: Unrealized net gain (loss) related to changes in the fair value of liabilities that are due to changes in own credit risk (if a gain, report as a positive value; if a loss, report as a negative value)",2019-09-30,405000000.0
"LESS: Unrealized net gain (loss) related to changes in the fair value of liabilities that are due to changes in own credit risk (if a gain, report as a positive value; if a loss, report as a negative value)",2020-03-31,1568000000.0
"LESS: Unrealized net gain (loss) related to changes in the fair value of liabilities that are due to changes in own credit risk (if a gain, report as a positive value; if a loss, report as a negative value)",2020-06-30,414000000.0
"LESS: Unrealized net gain (loss) related to changes in the fair value of liabilities that are due to changes in own credit risk (if a gain, report as a positive value; if a loss, report as a negative value)",2021-09-30,-222000000.0
"LESS: Unrealized net gain (loss) related to changes in the fair value of liabilities that are due to changes in own credit risk (if a gain, report as a positive value; if a loss, report as a negative value)",2021-12-31,-152000000.0
"LESS: Unrealized net gain (loss) related to changes in the fair value of liabilities that are due to changes in own credit risk (if a gain, report as a positive value; if a loss, report as a negative value)",2022-06-30,389000000.0
"LESS: Unrealized net gain (loss) related to changes in the fair value of liabilities that are due to changes in own credit risk (if a gain, report as a positive value; if a loss, report as a negative value)",2022-09-30,532000000.0
Total,2008-12-31,172616000000.0
Total,2011-06-30,205093000000.0
Total,2011-09-30,189826000000.0
Total,2012-03-31,170383000000.0
Total,2012-06-30,176095000000.0
Total,2012-09-30,158773000000.0
Total,2012-12-31,175660000000.0
Total,2013-09-30,395189000000.0
Total,2014-06-30,403468000000.0
Total,2014-09-30,412964000000.0
Total,2014-12-31,500146000000.0
Total,2015-03-31,508253000000.0
Total,2015-06-30,394078000000.0
Total,2016-09-30,433156000000.0
Total,2016-12-31,413066000000.0
Total,2017-03-31,482562000000.0
Total,2017-06-30,477140000000.0
Total,2017-09-30,488499000000.0
Total,2017-12-31,464923000000.0
Total,2018-03-31,445217000000.0
Total,2018-06-30,437418000000.0
Total,2018-09-30,456307000000.0
Total,2019-06-30,268584000000.0
Total,2019-09-30,257028000000.0
Total,2019-12-31,263780000000.0
Total,2020-06-30,493413000000.0
Total,2020-09-30,487799000000.0
Total,2020-12-31,527180000000.0
Total,2021-03-31,711260000000.0
Total,2021-06-30,705682000000.0
Total,2021-09-30,760259000000.0
Total,2021-12-31,740395000000.0
Total,2022-03-31,755227000000.0
Total,2022-06-30,670549000000.0
Total,2022-09-30,645394000000.0
Total,2022-12-31,568546000000.0
Total,2023-03-31,551018000000.0
Total,2020-12-31,201899000000.0
Total,2021-03-31,217546000000.0
Total,2022-06-30,441695000000.0
Total,2022-09-30,430157000000.0
Total,2022-12-31,425372000000.0
Total,2023-03-31,412888000000.0
Total,2021-03-31,217710000000.0
Total,2022-06-30,415587000000.0
Total,2022-09-30,389780000000.0
Total,2022-12-31,388647000000.0
Total,2008-12-31,185582000000.0
Total,2014-03-31,278044000000.0
Total,2015-03-31,267110000000.0
Total,2015-06-30,254055000000.0
Total,2015-09-30,244939000000.0
Total,2015-12-31,231691000000.0
Total,2016-03-31,227113000000.0
Total,2016-06-30,213224000000.0
Total,2016-09-30,209088000000.0
Total,2016-12-31,232500000000.0
Total,2017-03-31,226250000000.0
Total,2017-06-30,208567000000.0
Total,2017-09-30,209364000000.0
Total,2017-12-31,195947000000.0
Total,2018-03-31,204512000000.0
Total,2018-06-30,197797000000.0
Total,2018-09-30,196969000000.0
Total,2018-12-31,227077000000.0
Total,2019-03-31,231578000000.0
Total,2019-06-30,270100000000.0
Total,2020-03-31,393065000000.0
Total,2020-06-30,475479000000.0
Total,2021-06-30,229523000000.0
Total,2021-09-30,249246000000.0
Total,2022-06-30,231790000000.0
Total,2022-09-30,200814000000.0
Total,2022-12-31,216102000000.0
Total,2023-03-31,204586000000.0
Total,2008-12-31,182558000000.0
Total,2015-03-31,274683000000.0
Total,2015-06-30,259315000000.0
Total,2015-09-30,249742000000.0
Total,2015-12-31,235672000000.0
Total,2016-03-31,231780000000.0
Total,2016-06-30,219194000000.0
Total,2016-09-30,214838000000.0
Total,2016-12-31,234764000000.0
Total,2017-03-31,228887000000.0
Total,2017-06-30,211955000000.0
Total,2017-09-30,213002000000.0
Total,2018-03-31,206854000000.0
Total,2018-06-30,199857000000.0
Total,2018-09-30,197956000000.0
Total,2018-12-31,228637000000.0
Total,2019-03-31,234998000000.0
Total,2019-06-30,274974000000.0
Total,2020-03-31,398870000000.0
Total,2020-06-30,484943000000.0
Total,2020-09-30,388680000000.0
Total,2021-06-30,231563000000.0
Total,2021-09-30,251098000000.0
Total,2022-06-30,221983000000.0
Total,2022-09-30,188064000000.0
Total,2022-12-31,205790000000.0
Total,2023-03-31,197186000000.0
Total,2020-03-31,186561000000.0
Total,2021-03-31,166273000000.0
Total,2021-06-30,162353000000.0
Total,2021-09-30,166373000000.0
Total,2021-12-31,159246000000.0
Total,2022-03-31,182496000000.0
Total,2022-06-30,192019000000.0
Total,2022-09-30,178064000000.0
Total,2022-12-31,180354000000.0
Total,2023-03-31,172012000000.0
Total,2022-03-31,159695000000.0
Total,2022-06-30,160314000000.0
Total,2008-09-30,169610000000.0
Total,2015-03-31,161349000000.0
Total,2015-06-30,164644000000.0
Total,2015-09-30,169227000000.0
Total,2020-03-31,1006839000000.0
Total,2020-06-30,966125000000.0
Total,2020-09-30,951080000000.0
Total,2020-12-31,971497000000.0
Total,2021-03-31,964649000000.0
Total,2021-06-30,972809000000.0
Total,2021-09-30,981213000000.0
Total,2021-12-31,1017950000000.0
Total,2022-03-31,1027071000000.0
Total,2022-06-30,1059201000000.0
Total,2022-09-30,1072930000000.0
Total,2022-12-31,1098284000000.0
Total,2023-03-31,1094966000000.0
Total,2013-03-31,538624000000.0
Total,2013-06-30,536760000000.0
Total,2013-09-30,542467000000.0
Total,2013-12-31,544836000000.0
Total,2014-03-31,549012000000.0
Total,2014-06-30,563612000000.0
Total,2014-09-30,565314000000.0
Total,2014-12-31,579815000000.0
Total,2015-03-31,595300000000.0
Total,2015-06-30,619807000000.0
Total,2015-09-30,649387000000.0
Total,2015-12-31,676105000000.0
Total,2016-03-31,697847000000.0
Total,2016-06-30,718635000000.0
Total,2016-09-30,735306000000.0
Total,2016-12-31,738129000000.0
Total,2017-03-31,737453000000.0
Total,2017-06-30,753711000000.0
Total,2017-09-30,764581000000.0
Total,2017-12-31,777506000000.0
Total,2018-03-31,788655000000.0
Total,2018-06-30,806184000000.0
Total,2018-09-30,815660000000.0
Total,2018-12-31,832641000000.0
Total,2019-03-31,813191000000.0
Total,2019-06-30,914994000000.0
Total,2019-09-30,902058000000.0
